,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
29,@CNN,Sat Jun 23 10:45:03 +0000 2018,"""Welcome to America"": TIME magazine announced its new cover this week that shows President Trump and the two-year-o… https://t.co/BSJKZDZnCP",0.4588,0.143,0.857,0.0,30
30,@CNN,Sat Jun 23 10:31:00 +0000 2018,"This major exhibition by renowned glass artist Dale Chihuly marks the first time George Vanderbilt's descendants, w… https://t.co/Jyr5zRo8XF",0.0,0.0,1.0,0.0,31
31,@CNN,Sat Jun 23 10:30:09 +0000 2018,"Koko, the gorilla who mastered sign language, died in her sleep at age 46, The Gorilla Foundation says. She was sai… https://t.co/aKhFRzMGh8",-0.5574,0.0,0.854,0.146,32
32,@CNN,Sat Jun 23 10:15:05 +0000 2018,This school in Virginia is switching its name from that of a Confederate general to Barack Obama Elementary School… https://t.co/jrdO1kdh52,0.0,0.0,1.0,0.0,33
33,@CNN,Sat Jun 23 10:01:08 +0000 2018,Italian scholars claim they have unearthed the first known piece by Renaissance genius Leonardo Da Vinci… https://t.co/kOb3V08xXj,0.0,0.0,1.0,0.0,34
34,@CNN,Sat Jun 23 09:45:05 +0000 2018,"First, it was a small bump under her left eye. Five days later, it appeared above the eye. Her upper lip was bulgin… https://t.co/3afT9uXzas",0.0,0.0,1.0,0.0,35
35,@CNN,Sat Jun 23 09:31:00 +0000 2018,"After three years of restoration at Yosemite National Park, some of the world's biggest trees are ready to view aga… https://t.co/x5czDb21VG",0.3612,0.111,0.889,0.0,36
36,@CNN,Sat Jun 23 09:15:04 +0000 2018,"How soybeans -- yes, soybeans -- could impact the midterm elections https://t.co/N6ZrxV0P7r https://t.co/PMLeaoUM5p",0.4019,0.184,0.816,0.0,37
37,@CNN,Sat Jun 23 09:01:07 +0000 2018,"Otzi, a 5,300-year-old glacier mummy found in the Italian Alps, is older than the Giza pyramids and Stonehenge. The… https://t.co/FF1jPktnLW",0.0,0.0,1.0,0.0,38
38,@CNN,Sat Jun 23 08:45:06 +0000 2018,"""Quit trying to make us feel teary-eyed for the children. Yes, I love children a great deal, but to me, it's up to… https://t.co/Fvu6HNrOZZ",0.7184,0.269,0.731,0.0,39
39,@CNN,Sat Jun 23 08:31:00 +0000 2018,"Jim Davis introduced the world to Garfield on June 19, 1978. Since then the comic strip character has spun off TV s… https://t.co/2xyz14kqhb",0.0,0.0,1.0,0.0,40
40,@CNN,Sat Jun 23 08:15:07 +0000 2018,There's nearly a Nixon 1974 level of public support for impeaching President Trump | Analysis by @zbyronwolf … https://t.co/8rsxAji7iF,0.4019,0.153,0.847,0.0,41
41,@CNN,Sat Jun 23 08:01:08 +0000 2018,The introduction of HPV vaccines in England led to an 86% reduction in rates of the cancer-causing infection https://t.co/ja2fQdAE9Q,0.0,0.0,1.0,0.0,42
42,@CNN,Sat Jun 23 07:45:04 +0000 2018,"Democratic Sen. Jeff Merkley is ""exploring the possibility"" of throwing his hat in the ring in the 2020 presidentia… https://t.co/qns6WyCvdT",0.0,0.0,1.0,0.0,43
43,@CNN,Sat Jun 23 07:31:00 +0000 2018,"A West Virginia couple says a hospital mixed up two newborn babies, after the mother showed off one baby to relativ… https://t.co/o2lHPChs23",0.0,0.0,1.0,0.0,44
44,@CNN,Sat Jun 23 07:15:05 +0000 2018,"American Outdoor Brands, the gun maker that owns the iconic Smith &amp; Wesson line of firearms, reported plunging sale… https://t.co/xcO67lHNZJ",-0.34,0.0,0.888,0.112,45
45,@CNN,Sat Jun 23 07:01:03 +0000 2018,Canada becomes the second nation in the world to legalize marijuana https://t.co/BktkErV2wC https://t.co/QE7kY5N4oV,0.0,0.0,1.0,0.0,46
46,@CNN,Sat Jun 23 06:45:04 +0000 2018,"The US government might send up to 20,000 undocumented immigrant children to housing on US military bases, two defe… https://t.co/hlqhxjIPC7",0.0,0.0,1.0,0.0,47
47,@CNN,Sat Jun 23 06:31:00 +0000 2018,"Tiny house living may not be for everyone, but tiny house resorts have popped up all over the country, offering eve… https://t.co/egUT0bLMgQ",0.0,0.0,1.0,0.0,48
48,@CNN,Sat Jun 23 06:15:05 +0000 2018,"Former Trump campaign manager Corey Lewandowski has been dropped by his speakers bureau after saying ""womp womp"" re… https://t.co/rMhs4CaUGJ",0.0,0.0,1.0,0.0,49
49,@CNN,Sat Jun 23 06:01:05 +0000 2018,"President Trump claims crime in Germany ""is way up."" 

But data from the German government shows that 2017 saw the… https://t.co/WHTQAqrrGg",-0.5423,0.0,0.851,0.149,50
50,@CNN,Sat Jun 23 05:45:05 +0000 2018,"President Trump claims crime in Germany ""is way up."" 

But data from the German government shows that 2017 saw the… https://t.co/Xg0BH6iuEQ",-0.5423,0.0,0.851,0.149,51
51,@CNN,Sat Jun 23 05:31:00 +0000 2018,"83-year-old artist Christo has been creating conceptually challenging, and large-scale work since the late 1950s. N… https://t.co/inCvqIio73",0.4215,0.202,0.798,0.0,52
52,@CNN,Sat Jun 23 05:15:04 +0000 2018,"A Chicago teen, shot in the head, was covered with a sheet by paramedics. He died nearly a day later.… https://t.co/JKFV2vnBvK",-0.5574,0.0,0.825,0.175,53
53,@CNN,Sat Jun 23 05:01:05 +0000 2018,"""Black Panther"" star Chadwick Boseman was accepting an MTV award for playing a superhero when he invited James Shaw… https://t.co/gJ48veCMpc",0.7845,0.331,0.669,0.0,54
54,@CNN,Sat Jun 23 04:45:04 +0000 2018,Recreational marijuana use will soon be legal in Canada https://t.co/yttEihAN4h https://t.co/XjIKDFDeKC,0.128,0.13,0.87,0.0,55
55,@CNN,Sat Jun 23 04:31:00 +0000 2018,This is how KitKats are made https://t.co/4EErNF9ycw https://t.co/tWLOAbBddm,0.0,0.0,1.0,0.0,56
56,@CNN,Sat Jun 23 04:30:11 +0000 2018,New Zealand Prime Minister Jacinda Ardern became the first world leader in nearly 30 years to have a child while in… https://t.co/Kj73U7zb9c,0.0,0.0,1.0,0.0,57
57,@CNN,Sat Jun 23 04:15:07 +0000 2018,Every single person in charge of law and order in this Georgia town is a black woman https://t.co/tgvlvnBqfF https://t.co/tNrX1j9lEE,0.0,0.0,1.0,0.0,58
58,@CNN,Sat Jun 23 04:01:02 +0000 2018,This school in Virginia is switching its name from that of a Confederate general to Barack Obama Elementary School… https://t.co/nSvHuZBrYF,0.0,0.0,1.0,0.0,59
59,@CNN,Sat Jun 23 03:45:03 +0000 2018,"""Welcome to America"": TIME magazine announced its new cover this week that shows President Trump and the two-year-o… https://t.co/LpJoTos3pO",0.4588,0.143,0.857,0.0,60
60,@CNN,Sat Jun 23 03:30:06 +0000 2018,"Koko, the gorilla who mastered sign language, died this week in her sleep at age 46, The Gorilla Foundation says. S… https://t.co/MBviZtbfPi",-0.5574,0.0,0.854,0.146,61
61,@CNN,Sat Jun 23 03:15:06 +0000 2018,Every single person in charge of law and order in this Georgia town is a black woman https://t.co/vyrivjJiVT https://t.co/0pgQO0B0FO,0.0,0.0,1.0,0.0,62
62,@CNN,Sat Jun 23 03:00:54 +0000 2018,"RT @CuomoPrimeTime: “Suggesting we shouldn’t be that bothered because 'they aren’t us, they are others.' That is ugly.""

Addressing family…",-0.3182,0.0,0.892,0.108,63
63,@CNN,Sat Jun 23 03:00:15 +0000 2018,This school in Virginia is switching its name from that of a Confederate general to Barack Obama Elementary School… https://t.co/sqYaQToiUX,0.0,0.0,1.0,0.0,64
64,@CNN,Sat Jun 23 02:45:07 +0000 2018,"""I see mothers bury their sons. I want my mom to never feel that pain.""

Two years ago, Antwon Rose wrote those lin… https://t.co/KIua7rghqb",0.0772,0.056,0.944,0.0,65
65,@CNN,Sat Jun 23 02:39:02 +0000 2018,The Department of Homeland Security stood by the decision to end the Deferred Action for Childhood Arrivals program… https://t.co/3KegLihUS8,0.34,0.118,0.882,0.0,66
66,@CNN,Sat Jun 23 02:31:07 +0000 2018,Every single person in charge of law and order in this Georgia town is a black woman https://t.co/Rky0PmMKcY https://t.co/CqAsBn58aW,0.0,0.0,1.0,0.0,67
67,@CNN,Sat Jun 23 02:23:04 +0000 2018,DNA evidence from a discarded restaurant napkin was used to identify a suspect in the slaying of a 12-year-old girl… https://t.co/i4adg5axJO,-0.5574,0.0,0.777,0.223,68
68,@CNN,Sat Jun 23 02:15:08 +0000 2018,Why impeachment fever is bad for the Democrats | By Julian Zelizer for @CNNopinion https://t.co/Xv6YBxdu1l,-0.5423,0.0,0.788,0.212,69
69,@CNN,Sat Jun 23 02:07:07 +0000 2018,"Sessions isn't the first to ""textjack"" the Bible. Here are five of the most misused scriptures.… https://t.co/0fegggUZBH",0.0,0.0,1.0,0.0,70
70,@CNN,Sat Jun 23 02:00:12 +0000 2018,DNA testing revealed a WWII veteran stole an 8-year-old's identity. No one knows why https://t.co/pncdx6TYb4 https://t.co/plob1skJZg,-0.296,0.0,0.864,0.136,71
71,@CNN,Sat Jun 23 01:52:30 +0000 2018,The United States will suspend a number of military exercises with South Korea that were due to take place over com… https://t.co/BvELmWQjGB,0.2023,0.168,0.738,0.094,72
72,@CNN,Sat Jun 23 01:45:24 +0000 2018,Here's how Chipotle is making a comeback https://t.co/zU7EGagtUG https://t.co/Ss5yvda4SK,0.0,0.0,1.0,0.0,73
73,@CNN,Sat Jun 23 01:36:45 +0000 2018,"RT @AC360: This Sunday 7p ET, a CNN Special Report -- ""Finding Hope: Battling America's Suicide Crisis."" CNN's @AndersonCooper will moderat…",-0.25,0.199,0.567,0.234,74
74,@CNN,Sat Jun 23 01:15:09 +0000 2018,"Chanel, a privately held company, reveals earnings for the first time in its 108-year history https://t.co/Mg7sYUIHnn",0.0,0.0,1.0,0.0,75
75,@CNN,Sat Jun 23 01:00:44 +0000 2018,"Actor Dean Cain, who played Superman in ""Lois &amp;amp; Clark: The New Adventures of Superman,"" was just sworn in as a… https://t.co/zmeQSMq1yc",0.5859,0.194,0.806,0.0,76
76,@CNN,Sat Jun 23 00:54:58 +0000 2018,"RT @AC360: President Trump calls portrayals of families' grief over separations at the border as ""phony""

""So two days ago, the stories wer…",-0.4939,0.0,0.873,0.127,77
77,@CNN,Sat Jun 23 00:53:04 +0000 2018,"""It's like they're putting a knife in your chest and killing you.""

A Guatemalan immigrant reunited with her son ea… https://t.co/gtA28XntCX",-0.4404,0.105,0.711,0.184,78
78,@CNN,Sat Jun 23 00:45:10 +0000 2018,Actor Tom Arnold says he has tapes of the President that have yet to be heard by the public https://t.co/hplijUdhKr https://t.co/8ylShFDOyR,0.0,0.0,1.0,0.0,79
79,@CNN,Sat Jun 23 00:41:28 +0000 2018,"RT @OutFrontCNN: ""Oh yeah, he's got tapes."" - Tom Arnold tells @PoppyHarlowCNN that Michael Cohen has recordings, suggests they could be pr…",0.296,0.099,0.901,0.0,80
80,@CNN,Sat Jun 23 00:40:48 +0000 2018,RT @OutFrontCNN: 17. That is how many seconds of silence expired while @PoppyHarlowCNN waited for Tom Arnold to answer her question about w…,0.0,0.0,1.0,0.0,81
81,@CNN,Sat Jun 23 00:37:04 +0000 2018,The suspect in New York's deadliest terror attack since 9/11 was arraigned on new charges -- six counts of attempte… https://t.co/hEv1f9YHXf,-0.8689,0.0,0.612,0.388,82
82,@CNN,Sat Jun 23 00:30:06 +0000 2018,The College Board wants to cut thousands of years from its AP World History test. Teachers aren't having it.… https://t.co/90ThruGQgC,-0.2732,0.0,0.9,0.1,83
83,@CNN,Sat Jun 23 00:22:02 +0000 2018,"From beginning to end, this week was politically disastrous for Trump — and for Republicans hoping to build momentu… https://t.co/9BOlrq7kMx",-0.2732,0.118,0.717,0.165,84
84,@CNN,Sat Jun 23 00:15:06 +0000 2018,Let XXXTentacion's passing spell the end of his fame | By Liz Lazzara for @CNNopinion https://t.co/XsVKhWqVmS https://t.co/Xn4v0OrKHH,0.4404,0.162,0.838,0.0,85
85,@CNN,Sat Jun 23 00:10:09 +0000 2018,"About 9,000 bourbon barrels plummeted to the ground at Barton 1792 Distillery, home of the brand 1792 Bourbon… https://t.co/NhxEr4dwMt",0.0,0.0,1.0,0.0,86
86,@CNN,Sat Jun 23 00:00:32 +0000 2018,The follow up to one of the biggest movies of all-time is roaring onto movie screens. Here's a preview of 'Jurassic… https://t.co/la4ZTSgXef,0.0,0.0,1.0,0.0,87
87,@CNN,Fri Jun 22 23:50:01 +0000 2018,A top Netflix executive has left the company after he used the N-word in front of colleagues on more than one occas… https://t.co/XxiDvD6mlu,0.2023,0.079,0.921,0.0,88
88,@CNN,Fri Jun 22 23:40:08 +0000 2018,Planned Parenthood is suing the Department of Health and Human Services over changes to the agency's embattled Teen… https://t.co/sCyll9NlZq,-0.2732,0.0,0.896,0.104,89
89,@CNN,Fri Jun 22 23:29:05 +0000 2018,Three undocumented immigrants who filed suit Wednesday over being forcibly separated from their children are asking… https://t.co/iQo7aeoWOJ,0.0,0.0,1.0,0.0,90
90,@CNN,Fri Jun 22 23:15:07 +0000 2018,"Rep. Steve King, Republican of Iowa, said he doesn't want Somali Muslims working in his home district's meat-packin… https://t.co/N7juwI4tjr",-0.0572,0.0,0.936,0.064,91
91,@CNN,Fri Jun 22 23:00:04 +0000 2018,An internal draft Navy memo identifies potential housing locations for tens of thousands of immigrants at military… https://t.co/ULnMfCPVeC,0.0,0.0,1.0,0.0,92
92,@CNN,Fri Jun 22 22:45:07 +0000 2018,How 8 minutes of powerful audio came to define the family separation crisis | Analysis by Chris Cillizza… https://t.co/j2YbDiKilg,-0.3182,0.128,0.685,0.187,93
93,@CNN,Fri Jun 22 22:30:07 +0000 2018,Republicans said there are still outstanding records requests that the Justice Department has not satisfied in the… https://t.co/7AG2R380U8,0.7243,0.299,0.607,0.094,94
94,@CNN,Fri Jun 22 22:16:06 +0000 2018,"Perishable food from the canceled congressional picnic was donated to Walter Reed National Military Medical Center,… https://t.co/DUR6TfhwRm",0.0,0.0,1.0,0.0,95
95,@CNN,Fri Jun 22 22:00:21 +0000 2018,Time magazine stands by illustration of crying girl next to Trump amid backlash https://t.co/1yjg3sVNPq https://t.co/FdYRbOHKTj,-0.4767,0.0,0.819,0.181,96
96,@CNN,Fri Jun 22 21:38:04 +0000 2018,"Michelle Obama is attending the opening of the annual American Library Association

Watch live: https://t.co/o46ZlSsNug",0.0,0.0,1.0,0.0,97
97,@CNN,Fri Jun 22 21:31:17 +0000 2018,NASA has a new plan to stop asteroids and help scientists detect near-Earth objects they haven't been able to find… https://t.co/ZN71CjGOKi,0.128,0.118,0.786,0.096,98
98,@CNN,Fri Jun 22 21:15:07 +0000 2018,"In one week, Trump has tied himself into an impossible immigration knot, writes @zbyronwolf https://t.co/AGPqQIHKub https://t.co/k6h7CSEM55",0.0,0.0,1.0,0.0,99
99,@CNN,Fri Jun 22 21:00:13 +0000 2018,"Since taking office, EPA Administrator Scott Pruitt has sent only a small number of external emails from his offici… https://t.co/vQvsHrBD16",0.0772,0.067,0.933,0.0,100
