,Twitter Account,Tweet Date,Tweet,Compound,Positive,Neutral,Negative,Tweets Ago
30,@NYTimes,Mon Jun 18 22:02:07 +0000 2018,"Yayoi Kusama first presented ""Narcissus Garden"" at the 1966 Venice Biennale. On July 1, it comes to the Rockaways. https://t.co/sYFGTUsARX",0.0,0.0,1.0,0.0,31
31,@NYTimes,Mon Jun 18 21:47:07 +0000 2018,"RT @NYTNational: ""They just ran over me, bro"": A video shows a Border Patrol vehicle knocking over a Native American on a reservation in so…",0.0,0.0,1.0,0.0,32
32,@NYTimes,Mon Jun 18 21:32:04 +0000 2018,"The giant sequoias of Yosemite, a “forest masterpiece,” are open for visitors again after a renovation to add walki… https://t.co/kNDfId5C1w",0.0,0.0,1.0,0.0,33
33,@NYTimes,Mon Jun 18 21:17:03 +0000 2018,"Christo's latest work is a structure made from 7,506 barrels, floating in London's Hyde Park https://t.co/TQLSI1ZXKV",0.0,0.0,1.0,0.0,34
34,@NYTimes,Mon Jun 18 21:11:04 +0000 2018,"RT @peterbakernyt: Another first lady heard from: Rosalynn Carter releases statement saying ""The practice and policy today of removing chil…",0.0,0.0,1.0,0.0,35
35,@NYTimes,Mon Jun 18 21:02:06 +0000 2018,RT @jessemckinley: NEW: @HealthNYGov plans to recommend legalizing #marijuana in NY. https://t.co/A0sFRDCzKE,0.3612,0.185,0.815,0.0,36
36,@NYTimes,Mon Jun 18 20:45:04 +0000 2018,"The World Cup fans descended on Volgograd, Russia. Then the bugs descended on them. https://t.co/2ohfuwyfET",0.0,0.0,1.0,0.0,37
37,@NYTimes,Mon Jun 18 20:30:13 +0000 2018,"Peter Buttigieg, a rising star in the Democratic Party, once wondered: “How does a sitting mayor in Indiana who’s g… https://t.co/sYFl3mqLNu",0.4019,0.13,0.87,0.0,38
38,@NYTimes,Mon Jun 18 20:15:09 +0000 2018,"RT @nytimesmusic: Beyoncé pioneered a brand of musical ambush on the widest of scales with her 2013 self-titled album. And Saturday, with J…",0.0,0.0,1.0,0.0,39
39,@NYTimes,Mon Jun 18 20:00:09 +0000 2018,“It’s like New York without the Chrysler Building. It’s like Paris without the Eiffel Tower. It’s like London witho… https://t.co/QygyFyB1TR,0.7579,0.306,0.694,0.0,40
40,@NYTimes,Mon Jun 18 19:50:04 +0000 2018,"RT @nytopinion: .@StanGreenberg: Not only does Trump's base-oriented strategy get Democrats going, it hurts him with Republican moderates h…",-0.4767,0.0,0.853,0.147,41
41,@NYTimes,Mon Jun 18 19:40:03 +0000 2018,"Fact check: President Trump said ""crime in Germany is way up"" because of immigration. That statement is false. Crim… https://t.co/qs4IcxPlFk",-0.5423,0.0,0.844,0.156,42
42,@NYTimes,Mon Jun 18 19:30:09 +0000 2018,How Apple’s Tim Cook became tech’s top diplomat https://t.co/VLGnjS8kpt https://t.co/Mg1T9OnSLt,0.2023,0.167,0.833,0.0,43
43,@NYTimes,Mon Jun 18 19:20:10 +0000 2018,New York’s health department will recommend legalizing marijuana. Gov. Andrew Cuomo had opposed the policy but now… https://t.co/TGdbJbAEJ7,0.1901,0.093,0.907,0.0,44
44,@NYTimes,Mon Jun 18 19:10:06 +0000 2018,"RT @jazzedloon: i kept thinking: ""why hasn't there been a big @desusnice and @THEKIDMERO profile yet?"" so i wrote one, because the brand is…",0.0,0.0,1.0,0.0,45
45,@NYTimes,Mon Jun 18 19:01:07 +0000 2018,She is the first Latina and openly lesbian woman to be nominated for governor in Texas. Her first task? Winning ove… https://t.co/0hnujuX5PZ,0.5267,0.139,0.861,0.0,46
46,@NYTimes,Mon Jun 18 18:54:13 +0000 2018,"For those of you waiting for a miscue from England, you got it. The game is tied.  
England: 1
Tunisia: 1
https://t.co/uzQ5cOYEO4",0.0,0.0,1.0,0.0,47
47,@NYTimes,Mon Jun 18 18:50:09 +0000 2018,“We’ve seen more nonstate armed groups emerge in the last 7 years than in the previous 70 years” https://t.co/kjlrnTEHsq,0.0,0.0,1.0,0.0,48
48,@NYTimes,Mon Jun 18 18:41:03 +0000 2018,"England vs. Tunisia: The night might get worse before it gets better for Tunisia, as it's all one way traffic right… https://t.co/Jb4GI9pXHB",-0.0516,0.112,0.769,0.119,49
49,@NYTimes,Mon Jun 18 18:30:03 +0000 2018,"RT @peterbakernyt: As he attacks Merkel's migration policies, Trump claims ""crime in Germany is way up."" In fact, crime rates in Germany ar…",-0.872,0.0,0.669,0.331,50
50,@NYTimes,Mon Jun 18 18:16:13 +0000 2018,"The Los Angeles Times named a new editor, Norman Pearlstine, a veteran journalist, as the paper’s new owner tries t… https://t.co/GQkA2GPQ0e",0.0,0.0,1.0,0.0,51
51,@NYTimes,Mon Jun 18 18:10:03 +0000 2018,"RT @PekingMike: “Feminism terrifies authoritarians.”  @monaeltahawy and @LetaHong are both writing about this powerful truth. 
https://t.co…",0.2382,0.251,0.587,0.163,52
52,@NYTimes,Mon Jun 18 17:59:56 +0000 2018,"The England vs. Tunisia World Cup game is about to begin. But first, @sarahlyall needs to tell you about the bugs.… https://t.co/QpESR8PTMZ",0.0,0.0,1.0,0.0,53
53,@NYTimes,Mon Jun 18 17:50:09 +0000 2018,The current system favors low-risk research and proposals by older scientists and white men https://t.co/lYSeebYcTT,0.25,0.125,0.875,0.0,54
54,@NYTimes,Mon Jun 18 17:40:06 +0000 2018,"RT @emmagf: Uber drivers like Pedro Acosta say they can’t make a living driving for the app. He made 4,400 trips for Uber last year and mad…",0.4173,0.1,0.9,0.0,55
55,@NYTimes,Mon Jun 18 17:30:07 +0000 2018,A sheriff’s deputy in Texas was charged with felony assault after being accused of repeatedly sexually assaulting a… https://t.co/PL9k6NrtSC,-0.9274,0.0,0.471,0.529,56
56,@NYTimes,Mon Jun 18 17:20:05 +0000 2018,President Trump's efforts to boost once-iconic industries like coal mining and domestic steel manufacturing come at… https://t.co/VVXqiH2DvV,0.6369,0.257,0.743,0.0,57
57,@NYTimes,Mon Jun 18 17:10:01 +0000 2018,"RT @nytgraphics: Today, the Supreme Court declined to decide two challenges to partisan gerrymandering. Track all the biggest decisions of…",0.5994,0.214,0.786,0.0,58
58,@NYTimes,Mon Jun 18 17:01:04 +0000 2018,"England’s World Cup team has a new coach and young players. Untainted by past failures, they’re entering the tourna… https://t.co/PhutnHnTsh",-0.4588,0.0,0.857,0.143,59
59,@NYTimes,Mon Jun 18 16:50:08 +0000 2018,"“I can’t go without my son.” The problem of separating immigrant families gets worse, as some parents are being dep… https://t.co/oIO4Vr3UBG",-0.7003,0.0,0.766,0.234,60
60,@NYTimes,Mon Jun 18 16:40:05 +0000 2018,"RT @peterbakernyt: Among those condemning Trump administration practice of separating children at the border this weekend: Laura Bush, Anth…",0.0,0.0,1.0,0.0,61
61,@NYTimes,Mon Jun 18 16:30:11 +0000 2018,"Nearly 4 years after Amazon purchased Twitch, it’s becoming clear that Amazon didn’t just score an early advantage… https://t.co/G16npCUT8F",0.6124,0.286,0.714,0.0,62
62,@NYTimes,Mon Jun 18 16:20:07 +0000 2018,He was offside! That should be a penalty kick! Does this guy even know the rules? https://t.co/ARJ4ezKvKZ,-0.555,0.0,0.807,0.193,63
63,@NYTimes,Mon Jun 18 16:10:05 +0000 2018,"While $50 billion sounds like a lot, that represents just 0.4% of the Chinese economy https://t.co/8oxZTX6jTu",0.3612,0.152,0.848,0.0,64
64,@NYTimes,Mon Jun 18 16:00:16 +0000 2018,"2 years ago, NASA dismissed and mocked an amateur who criticized a database of asteroid findings. Now Nathan Myhrvo… https://t.co/BwdagmBlEJ",-0.5859,0.0,0.769,0.231,65
65,@NYTimes,Mon Jun 18 15:50:07 +0000 2018,"RT @EnnisNYT: Patrick Soon-Shiong takes over as owner of The LA Times today. In April, @tarangoNYT &amp; @melbournecoal talked to him about his…",0.0,0.0,1.0,0.0,66
66,@NYTimes,Mon Jun 18 15:40:04 +0000 2018,"“Saudi Aramco has always carried the kingdom on its back. But to support the kingdom in the coming decades, it need… https://t.co/qjC6kSNj7r",0.4019,0.114,0.886,0.0,67
67,@NYTimes,Mon Jun 18 15:30:11 +0000 2018,“The last thing you’d be thinking of when you saw her were her disabilities. The flamboyance was distracting.” https://t.co/JShE2jSa9i,0.0,0.0,1.0,0.0,68
68,@NYTimes,Mon Jun 18 15:20:08 +0000 2018,"RT @nytopinion: A dog loves a person the way people love each other only while in the grip of new love, writes @MargaretRenkl https://t.co/…",0.9201,0.389,0.611,0.0,69
69,@NYTimes,Mon Jun 18 15:10:02 +0000 2018,Public schools are closing and being replaced by religious schools. Tens of thousands of public teachers have been… https://t.co/1idgWoxqkm,0.0,0.0,1.0,0.0,70
70,@NYTimes,Mon Jun 18 15:00:14 +0000 2018,"""The whole idea of, 'Here's an attraction, let's build a parking lot next to it' — we're not doing that any more,""… https://t.co/vL8GKEqebJ",0.4588,0.13,0.87,0.0,71
71,@NYTimes,Mon Jun 18 14:45:09 +0000 2018,"The Supreme Court rejected 2 challenges to partisan voting districts on technical grounds, a setback for opponents… https://t.co/jLpHgOtROB",0.1531,0.231,0.613,0.156,72
72,@NYTimes,Mon Jun 18 14:30:13 +0000 2018,"""Gaming disorder"" is being recognized for the first time by the World Health Organization https://t.co/z5da1jsMeD",-0.4019,0.0,0.838,0.162,73
73,@NYTimes,Mon Jun 18 14:16:03 +0000 2018,"""Some of the women we have encountered in detention at the border have reported facing pressure to deport voluntari… https://t.co/xbhVFB8yXm",-0.5719,0.0,0.793,0.207,74
74,@NYTimes,Mon Jun 18 14:00:07 +0000 2018,At least five people died on Sunday in South Texas after an SUV carrying a dozen unauthorized immigrants crashed wh… https://t.co/nFNEnMNFP0,-0.5574,0.0,0.841,0.159,75
75,@NYTimes,Mon Jun 18 13:45:05 +0000 2018,RT @JackEwingNYT: Will Audi chief Rupert Stadler become the first auto executive to manage his division from jail?  https://t.co/kRDNgPLcA3,0.0,0.0,1.0,0.0,76
76,@NYTimes,Mon Jun 18 13:41:03 +0000 2018,"Breaking News: President Trump attacked Germany's immigration policies, falsely claiming crime was up there, and sa… https://t.co/wUxO8Ea0gG",-0.7579,0.0,0.698,0.302,77
77,@NYTimes,Mon Jun 18 13:30:05 +0000 2018,"Andreas Granqvist put Sweden ahead of South Korea, 1-0, on a penalty kick after a video review. #SWEKOR live update… https://t.co/JIoUAEg1Mc",-0.4588,0.0,0.857,0.143,78
78,@NYTimes,Mon Jun 18 13:13:03 +0000 2018,"RT @nytopinion: The barbaric policy of family separation is an outgrowth of Trump's own personal cruelty, writes @CharlesMBlow https://t.co…",-0.5994,0.0,0.822,0.178,79
79,@NYTimes,Mon Jun 18 13:00:11 +0000 2018,Morning Briefing: Here's what you need to know to start your day https://t.co/UPLSLYSuwX https://t.co/KBsawx6osR,0.0,0.0,1.0,0.0,80
80,@NYTimes,Mon Jun 18 12:51:03 +0000 2018,"""I saw the ceiling and the floor undulating, and I could barely stand,"" said a man who was at a train station when… https://t.co/c3pRPAtXy6",0.0,0.0,1.0,0.0,81
81,@NYTimes,Mon Jun 18 12:40:05 +0000 2018,"The fact that Germany has lost a game is not a disaster. The manner in which it came about, though, is most certain… https://t.co/WLxFR4G3xw",0.2486,0.129,0.781,0.09,82
82,@NYTimes,Mon Jun 18 12:30:10 +0000 2018,"""The thought that any state would seek to deter parents by inflicting such abuse on children is unconscionable,"" sa… https://t.co/Rv3VlCsGy8",-0.6369,0.0,0.819,0.181,83
83,@NYTimes,Mon Jun 18 12:21:06 +0000 2018,"In 2015, Bavarians turned out in droves to welcome the refugees with gifts of food and clothing at bus and train st… https://t.co/dHWGY9w6en",0.4588,0.12,0.88,0.0,84
84,@NYTimes,Mon Jun 18 12:15:03 +0000 2018,"South Korea and Sweden are in a challenging group with Mexico and Germany, so both will be eager for three points.… https://t.co/JM7j6CLSYL",0.4767,0.177,0.823,0.0,85
85,@NYTimes,Mon Jun 18 12:11:03 +0000 2018,Officials said there had been threats of violence before the shooting at a festival in New Jersey. Trenton's mayor-… https://t.co/Q9DE4ftoA2,-0.5719,0.123,0.613,0.264,86
86,@NYTimes,Mon Jun 18 12:00:13 +0000 2018,"Your daily @DealBook Briefing:

• CEOs think Kim played Trump. 

• Trade fights are taking their toll on business.… https://t.co/cgvneDNDfc",-0.0772,0.114,0.758,0.128,87
87,@NYTimes,Mon Jun 18 11:42:50 +0000 2018,"""I just want to run naturally, the way I was born."" Caster Semenya is trying to block a rule that seeks to limit th… https://t.co/U1F0txD1W5",-0.3818,0.052,0.833,0.115,88
88,@NYTimes,Mon Jun 18 11:30:06 +0000 2018,"""It is immoral. And it breaks my heart,"" Laura Bush wrote in The Washington Post. Leading Republicans joined Democr… https://t.co/HCmIOg46Xl",-0.4588,0.0,0.864,0.136,89
89,@NYTimes,Mon Jun 18 11:20:04 +0000 2018,"""I'll have my toothbrush, and the book, sketch pad, small bottles of ink and steel pens and pencils. I might leave… https://t.co/MwPkHKepBb",0.0,0.0,1.0,0.0,90
90,@NYTimes,Mon Jun 18 11:14:05 +0000 2018,"For a year and a half, President Trump has threatened to crack down on leaks and leakers.
The seizure of emails and… https://t.co/kINVpvkfdQ",-0.4588,0.0,0.87,0.13,91
91,@NYTimes,Mon Jun 18 11:00:04 +0000 2018,"""Quoting a racist dictator bent on genocide or his minister of propaganda has no place in our school or our communi… https://t.co/IDjikgUJmN",-0.802,0.0,0.687,0.313,92
92,@NYTimes,Mon Jun 18 10:46:06 +0000 2018,RT @RorySmith: There’s something different about this England. Everyone seems...happy. I went to ask @dele_official why that might be. Turn…,0.0,0.0,1.0,0.0,93
93,@NYTimes,Mon Jun 18 10:30:04 +0000 2018,Morning Briefing: Here's what you need to know to start your day https://t.co/ixcjtLy0DG https://t.co/q6rSTACvOh,0.0,0.0,1.0,0.0,94
94,@NYTimes,Mon Jun 18 10:20:11 +0000 2018,Did Mexico's celebration after the World Cup win over Germany cause an earthquake? https://t.co/Oua3fKTWI3 https://t.co/2Dlkf6OCWm,0.5859,0.213,0.787,0.0,95
95,@NYTimes,Mon Jun 18 10:08:41 +0000 2018,"Macedonia signed a landmark agreement to change its name to North Macedonia, sealing a deal with Greece that would,… https://t.co/gYTLAC27lt",0.5423,0.22,0.78,0.0,96
96,@NYTimes,Mon Jun 18 09:45:06 +0000 2018,"""As far as freedom of speech is concerned, we shouldn't be naïve,"" said the executive director of a Malaysian human… https://t.co/mPaymD3BDZ",0.6369,0.181,0.819,0.0,97
97,@NYTimes,Mon Jun 18 09:30:10 +0000 2018,"Men who film up women's skirts and down their blouses, often with tiny cameras, could face jail time in Britain. Bu… https://t.co/lGe2XhDT7q",0.0,0.0,1.0,0.0,98
98,@NYTimes,Mon Jun 18 09:15:05 +0000 2018,"Some 600 million Indians, about half the population, face high to extreme water scarcity conditions, with about 200… https://t.co/kWnSjE7PQf",0.0,0.0,1.0,0.0,99
99,@NYTimes,Mon Jun 18 09:00:03 +0000 2018,"Melania Trump said the United States should be governed ""with a heart,"" but did not directly take issue with Presid… https://t.co/l6dnGvVix5",0.2263,0.091,0.909,0.0,100
