Index,City ID,City Name,Country Code,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
90,2411397,georgetown,sh,-7.93,-14.42,298.775,100,92,6.27
91,3388456,sao jose da coroa grande,br,-8.9,-35.15,297.275,94,92,2.57
92,3406954,aurora,br,-6.94,-38.97,293.125,95,24,1.42
93,1490036,tashtyp,ru,52.8,89.89,296.025,53,0,1.27
94,1024312,mocuba,mz,-16.84,36.99,290.925,87,88,2.67
95,3448454,belmonte,br,-26.84,-53.58,274.675,97,0,1.87
96,2629833,husavik,is,66.04,-17.34,284.15,71,0,2.6
97,3573061,saint george,bm,32.38,-64.68,298.15,88,20,4.1
98,3894426,coihaique,cl,-45.58,-72.07,273.75,87,75,1.5
99,2960970,westport,ie,53.8,-9.52,284.15,93,90,3.1
100,2017155,saskylakh,ru,71.97,114.09,296.225,61,64,3.32
101,902721,mwense,zm,-10.39,28.7,288.525,51,0,3.67
102,390054,baft,ir,29.23,56.61,300.675,14,44,2.37
103,2155415,new norfolk,au,-42.78,147.06,287.15,50,20,1.5
104,4252975,barrow,us,39.51,-90.4,297.27,78,1,1.5
105,2084442,vanimo,pg,-2.67,141.3,302.275,100,20,4.57
106,2063042,port hedland,au,-20.31,118.58,301.15,58,40,5.1
107,2025256,chumikan,ru,54.72,135.31,291.575,48,8,4.02
108,2071860,esperance,au,-33.86,121.89,292.225,34,0,7.02
109,1698289,pundaguitan,ph,6.37,126.17,303.025,95,76,6.02
110,1863495,gushikawa,jp,26.35,127.87,303.83,74,75,7.7
111,5404476,ukiah,us,39.15,-123.21,289.15,55,1,2.6
112,1714956,paitan,ph,6.63,125.26,305.15,66,75,6.2
113,2120612,tigil,ru,57.8,158.67,283.375,60,76,7.62
114,3372707,ribeira grande,pt,38.52,-28.7,291.15,77,75,1.5
115,3374346,ponta do sol,cv,17.2,-25.09,295.175,100,0,7.17
116,3863379,mar del plata,ar,-46.43,-67.52,276.175,84,0,6.87
117,118063,sabzevar,ir,36.21,57.68,300.125,28,0,2.87
118,2112802,hasaki,jp,35.73,140.83,301.78,69,75,5.7
119,2156034,muswellbrook,au,-32.27,150.89,285.975,100,92,1.82
120,2417886,kerouane,gn,12.23,-12.34,293.325,93,0,1.42
121,1258980,raipur,in,21.24,81.63,307.225,61,0,5.12
122,4732862,nome,us,30.04,-94.42,296.38,88,1,2.47
123,935215,saint-philippe,re,-21.36,55.77,298.29,73,90,4.6
124,5972291,havre-saint-pierre,ca,50.23,-63.6,282.15,70,90,5.1
125,2015306,tiksi,ru,71.64,128.87,285.675,66,0,6.57
126,3690010,amalfi,co,6.91,-75.07,294.275,98,88,0.77
127,934322,mahebourg,mu,-20.41,57.7,296.15,83,75,0.5
128,5880568,bethel,us,60.79,-161.76,286.15,66,1,1.5
129,2126123,chokurdakh,ru,70.62,147.9,274.475,96,0,3.57
130,260895,karpathos,gr,35.51,27.21,300.15,57,0,6.7
131,3578441,saint-francois,gp,16.25,-61.27,297.15,83,0,8.07
132,3654410,manta,ec,-0.95,-80.73,295.15,88,75,2.6
133,1500399,lokosovo,ru,61.13,74.84,285.825,56,0,5.37
134,1253237,veraval,in,20.9,70.37,304.125,78,80,7.22
135,1254709,tezu,in,27.93,96.16,300.425,65,32,0.52
136,3985710,cabo san lucas,mx,22.89,-109.91,304.15,31,5,4.47
137,2110227,butaritari,ki,3.07,172.79,301.425,100,24,2.67
138,3466165,cidreira,br,-30.17,-50.22,279.225,85,0,2.57
139,3934707,mollendo,pe,-17.03,-72.02,285.375,96,8,0.52
140,2318921,wukari,ng,7.87,9.78,298.275,83,12,5.57
141,515873,oktyabrskiy,ru,55.61,37.97,283.39,57,75,5.0
142,3533462,acapulco,mx,16.86,-99.88,299.15,88,90,2.1
143,2422465,conakry,gn,9.52,-13.7,298.15,88,75,3.62
144,551846,kaspiyskiy,ru,45.39,47.37,296.875,65,0,4.92
145,3421719,narsaq,gl,60.91,-46.05,278.15,75,36,0.97
146,3424607,tasiilaq,gl,65.61,-37.64,273.15,93,80,1.0
147,4580543,greenville,us,34.85,-82.4,294.37,78,1,2.6
148,3419842,sisimiut,gl,66.94,-53.67,272.675,94,8,1.67
149,1269993,hojai,in,26.0,92.85,305.925,73,8,1.47
150,3141292,rosendal,no,59.99,6.01,288.925,61,0,0.82
151,1636308,manokwari,id,-0.87,134.08,302.475,95,0,6.47
152,1524302,ereymentau,kz,51.62,73.1,290.425,64,64,4.47
153,1257919,sabathu,in,31.01,76.99,296.625,98,68,1.22
154,964420,port elizabeth,za,-33.92,25.57,291.15,34,0,6.7
155,3698359,chicama,pe,-7.84,-79.15,291.15,93,90,1.0
156,6185217,yarmouth,ca,43.84,-66.12,282.625,99,0,1.52
157,3356832,henties bay,na,-22.12,14.28,288.975,75,8,2.62
158,915471,kalabo,zm,-15.0,22.67,281.675,63,0,2.57
159,6156102,steinbach,ca,49.53,-96.69,292.15,88,5,5.1
160,3831208,qaanaaq,gl,77.48,-69.36,271.475,100,88,1.22
161,2015852,svetlaya,ru,46.54,138.33,282.275,92,0,1.32
162,1262672,mudbidri,in,13.08,74.98,297.15,94,75,2.1
163,1788268,dongsheng,cn,29.72,112.52,300.275,77,92,5.92
164,2324767,potiskum,ng,11.71,11.08,295.625,73,0,3.92
165,1267390,kavaratti,in,10.57,72.64,300.575,100,80,12.77
166,1865309,katsuura,jp,33.93,134.5,298.15,73,20,5.1
167,3985168,san patricio,mx,19.22,-104.7,296.525,100,20,0.77
168,6144312,sept-iles,ca,50.2,-66.38,277.15,86,20,2.6
169,3453478,pitanga,br,-24.76,-51.76,276.625,81,24,1.87
170,5866063,kenai,us,60.55,-151.26,287.18,71,1,6.7
171,3382160,cayenne,gf,4.94,-52.33,297.15,100,40,3.02
172,2173323,bundaberg,au,-24.87,152.35,294.325,93,0,4.32
173,3115824,muros,es,42.77,-9.06,284.15,100,75,3.6
174,286621,salalah,om,17.01,54.1,303.15,79,75,4.6
175,2270385,camacha,pt,33.08,-16.33,291.15,77,75,4.6
176,2336237,jega,ng,12.22,4.38,298.025,78,0,4.22
177,1850144,nishihara,jp,35.74,139.53,303.37,38,40,3.6
178,3530200,el sauzal,mx,18.18,-95.22,301.15,83,40,5.1
179,137956,darab,ir,28.75,54.55,304.875,12,32,1.27
180,370481,marawi,sd,18.48,31.82,306.275,17,12,2.97
181,2194098,ahipara,nz,-35.17,173.16,287.125,92,36,3.87
182,777019,vardo,no,70.37,31.11,278.375,100,48,4.77
183,2448085,agadez,ne,16.97,7.99,302.15,23,0,3.1
184,1260206,pasighat,in,28.06,95.33,301.825,73,24,0.97
185,1729564,bacolod,ph,10.68,122.95,304.175,62,64,8.72
186,110690,abha,sa,18.22,42.5,300.09,26,0,2.6
187,4031574,provideniya,ru,64.42,-173.23,278.15,80,75,2.0
188,2108857,gizo,sb,-8.1,156.84,301.525,100,88,5.22
189,64814,bandarbeyla,so,9.49,50.81,300.775,77,0,8.72
190,5193011,hazleton,us,40.96,-75.99,290.36,87,1,1.5
191,3671519,puerto carreno,co,6.19,-67.49,293.075,99,92,1.02
192,2109701,auki,sb,-8.77,160.7,299.225,100,76,1.67
193,6167817,torbay,ca,47.66,-52.73,276.275,92,24,5.67
194,2022572,khatanga,ru,71.98,102.47,295.175,61,0,2.97
